Brand,Name,Price (₹),Rating,Specs,Category
IQOO,"IQOO Z10X 5G (Ultramarine, 128 GB)",13990,975 Ratings & 68 Reviews,6 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6500 mAh Battery1 Year on Handset and 6 Months on Accessories,Budget
Samsung,"Samsung Galaxy F16 5G (Bling Black, 128 GB)",14499,"1,275 Ratings & 107 Reviews",8 GB RAM | 128 GB ROM16.91 cm (6.657 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Budget
POCO,"POCO X7 5G (Yellow, 128 GB)",16999,"9,020 Ratings & 888 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP + 8MP + 2MP | 20MP Front Camera5500 mAh BatteryDimensity 7300 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Mid-Range
realme,"realme Narzo N61 (Voyage Blue, 128 GB)",9149,"1,633 Ratings & 65 Reviews",6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display32MP Rear Camera5000 mAh Battery1 Year,Budget
realme,"realme Narzo N61 (Marble Black, 128 GB)",9177,"1,633 Ratings & 65 Reviews",6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display32MP Rear Camera5000 mAh Battery1 Year,Budget
POCO,"POCO M7 Pro 5G (Olive Twilight, 128 GB)",12999,"13,796 Ratings & 1,280 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Budget
POCO,"POCO M7 5G (Mint Green, 128 GB)",9499,"20,876 Ratings & 1,180 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Budget
Samsung,"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)",82899,"3,142 Ratings & 314 Reviews",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Flagship
Samsung,"Samsung Galaxy A35 5G (Awesome Lilac, 256 GB)",21999,"16,448 Ratings & 1,177 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 5MP | 13MP Front Camera5000 mAh BatteryExynos 1380 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid-Range
Infinix,"Infinix Note 50s 5G+ (Titanium Grey, 128 GB)",15999,"11,782 Ratings & 1,220 Reviews",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 13MP Front Camera5500 mAh BatteryDimensity 7300 Ultimate Processor1 Year Warranty for Handset and 6 Months Warranty for Accessories,Mid-Range
Nothing,"Nothing Phone (3a) (Blue, 256 GB)",26999,"24,945 Ratings & 2,263 Reviews",8 GB RAM | 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) | 32MP Front Camera5000 mAh Battery7s Gen3 Processor1 Year Manufacturing Warranty,Mid-Range
Infinix,"Infinix Note 50s 5G+ (Burgundy Red, 256 GB)",17999,"11,782 Ratings & 1,220 Reviews",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 13MP Front Camera5500 mAh BatteryDimensity 7300 Ultimate Processor1 Year Warranty for Handset and 6 Months Warranty for Accessories,Mid-Range
realme,"realme P2 Pro 5G (Eagle Grey, 128 GB)",17999,"15,865 Ratings & 1,160 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5200 mAh Battery7s Gen2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid-Range
Samsung,"Samsung Galaxy S24 Ultra 5G (Titanium Black, 256 GB)",82838,"3,142 Ratings & 314 Reviews",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Flagship
Samsung,"Samsung Galaxy M35 5G (Thunder Grey, 128 GB)",16785,"2,684 Ratings & 190 Reviews",8 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 YEAR,Mid-Range
Apple,"Apple iPhone 13 (Starlight, 128 GB)",44999,"2,92,103 Ratings & 13,951 Reviews",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.,Flagship
Infinix,"Infinix Note 50s 5G+ (Titanium Grey, 128 GB)",14999,45 Ratings & 3 Reviews,6 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 13MP Front Camera5500 mAh BatteryDimensity 7300 Ultimate Processor1 Year Warranty for Handset and 6 Months Warranty for Accessories,Budget
Samsung,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",10999,"5,919 Ratings & 458 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Budget
Kechaoda,Kechaoda A26,945,"27,791 Ratings & 1,570 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB1.68 cm (0.66 inch) QVGA Display0MP | 0MP Front Camera800 mAh BatteryNA ProcessorNO WARRANTY,Budget
Kechaoda,Kechaoda K115,978,"40,533 Ratings & 2,625 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB3.66 cm (1.44 inch) QVGA Display0.3MP + 0.5MP | 0MP Front Camera850 mAh BatteryNA Processor1 Year Company Domestic Warranty by Company Authorized Service Center.,Budget
IQOO,"IQOO Z10X 5G (Titanium, 128 GB)",15476,519 Ratings & 26 Reviews,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6500 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on Accessories,Mid-Range
itel,itel Keypad Mobile | 2.4 inch Display| Type C Charging,1069,265 Ratings & 16 Reviews,4 MB RAM | 4 MB ROM6.1 cm (2.4 inch) Display0.3MP Rear Camera1200 mAh Battery1 year manufacturer,Budget
MOTOROLA,"MOTOROLA Edge 60 Stylus (PANTONE Gibraltar Sea, 256 GB)",22999,"6,516 Ratings & 580 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Mobile Processor Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,Mid-Range
REDMI,"REDMI A3X (Ocean Green, 64 GB)",6499,"4,917 Ratings & 227 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Budget
REDMI,"REDMI A3X (Olive Green, 64 GB)",5999,"7,690 Ratings & 352 Reviews",3 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Budget
REDMI,"REDMI A3X (Ocean Green, 128 GB)",6999,"4,917 Ratings & 227 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Budget
Kechaoda,Kechaoda K115,985,"40,533 Ratings & 2,625 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB3.66 cm (1.44 inch) QVGA Display0.3MP + 0MP | 0MP Front Camera850 mAh BatteryNA ProcessorNO WARRANTY,Budget
POCO,"POCO C71 (Cool Blue, 128 GB)",6999,"5,122 Ratings & 317 Reviews","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",Budget
Tecno,"Tecno Pova 6 Neo 5G (Midnight Shadow, 128 GB)",9499,"1,942 Ratings & 119 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display108MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Phone,Budget
Nokia,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",1159,"1,57,035 Ratings & 9,914 Reviews",32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP | 0MP Front Camera1000 mAh BatterySC6531E Processor1YR BRAND WARRANTY ON HANDSET & 6 MONTHS WARRANTY ON ACCESSORIES,Budget
Samsung,"Samsung Galaxy S24 Ultra 5G (Titanium Black, 256 GB)",83438,"3,142 Ratings & 314 Reviews",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Flagship
Infinix,"Infinix Note 50x 5G+ (Titanium Grey, 128 GB)",12999,"2,246 Ratings & 230 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) HD+ Display50MP + AI Lens | 8MP Front Camera5500 mAh BatteryDimensity 7300 Ultimate Processor1 Year Warranty on the Handset and 6 Months Warranty on the In-box Accessories,Budget
Nokia,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",1298,"1,57,035 Ratings & 9,914 Reviews",32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP | 0MP Front Camera1000 mAh BatterySC6531E Processor1YR BRAND WARRANTY ON HANDSET & 6 MONTHS WARRANTY ON ACCESSORIES,Budget
OnePlus,"OnePlus Nord CE4 lite 5G (MEGA BLUE, 256 GB)",22998,"22,440 Ratings & 1,102 Reviews",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP Rear Camera5500 mAh Battery1 year,Mid-Range
Infinix,"Infinix Note 50s 5G+ (Marine Drift, 128 GB)",15999,"11,782 Ratings & 1,220 Reviews",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 13MP Front Camera5500 mAh BatteryDimensity 7300 Ultimate Processor1 Year Warranty for Handset and 6 Months Warranty for Accessories,Mid-Range
vivo,"vivo T3 Pro 5G (Emerald Green, 128 GB)",22999,"80,347 Ratings & 5,141 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,Mid-Range
vivo,"vivo T3 Pro 5G (Sandstone Orange, 128 GB)",22999,"80,347 Ratings & 5,141 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,Mid-Range
vivo,"vivo T3 Pro 5G (Emerald Green, 256 GB)",24999,"80,347 Ratings & 5,141 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,Mid-Range
Infinix,"Infinix Note 50s 5G+ (Marine Drift, 256 GB)",17999,"11,782 Ratings & 1,220 Reviews",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 13MP Front Camera5500 mAh BatteryDimensity 7300 Ultimate Processor1 Year Warranty for Handset and 6 Months Warranty for Accessories,Mid-Range
Infinix,"Infinix Note 50s 5G+ (Titanium Grey, 256 GB)",17999,"11,782 Ratings & 1,220 Reviews",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 13MP Front Camera5500 mAh BatteryDimensity 7300 Ultimate Processor1 Year Warranty for Handset and 6 Months Warranty for Accessories,Mid-Range
realme,"realme C63 5G Charger in the Box (Starry Gold, 128 GB)",10999,"6,523 Ratings & 262 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Budget
realme,"realme C63 5G Charger in the Box (Starry Gold, 128 GB)",12999,"3,783 Ratings & 123 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Budget
POCO,"POCO M7 Pro 5G (Olive Twilight, 128 GB)",12999,"13,796 Ratings & 1,280 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Budget
Motorola,"Motorola Edge 50 Neo (PANTONE Nautical Blue, 256 GB)",19999,"27,592 Ratings & 2,725 Reviews",8 GB RAM | 256 GB ROM16.26 cm (6.4 inch) Super HD Display50MP + 13MP + 10MP | 32MP Front Camera4310 mAh BatteryDimensity 7300 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,Mid-Range
Samsung,"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)",82899,"3,142 Ratings & 314 Reviews",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Flagship
IQOO,"IQOO Z9s 5G (Onyx Green, 128 GB)",18648,"7,268 Ratings & 467 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera5500 mAh Battery1 Year on Handset and 6 Months on Accessories,Mid-Range
vivo,"vivo Y19e (Titanium Silver, 64 GB)",7999,"1,061 Ratings & 40 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) Display13MP + 0.08MP | 5MP Front Camera5500 mAh BatteryT7225 Processor1 Year Warranty on the Product and 6 Months Warranty on the Accessories,Budget
IQOO,"IQOO Z9s 5G (Titanium Matte, 128 GB)",18949,"7,268 Ratings & 467 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera5500 mAh Battery1 year manufacturer warranty for device & 6 months for In-box accessories from the date of purchase,Mid-Range
KARBONN,"KARBONN K101i Dual SIM,Keypad Mobile,1.8''LCD,1000mAh Battery,TypeC USB,Memory Up to32GB",890,146 Ratings & 8 Reviews,40 MB RAM | 35 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) FWVGA Display0MP | 0MP Front Camera1000 mAh BatteryNA Processor12 month Handset and 6 Month Box Accessories,Budget
realme,"realme Narzo N61 (Vyage Blue, 64 GB)",7459,"5,210 Ratings & 250 Reviews",4 GB RAM | 64 GB ROM17.12 cm (6.74 inch) Display32MP Rear Camera5000 mAh Battery1 Year,Budget
Infinix,"Infinix GT 30 Pro 5G+ (Blade White, 256 GB)",24999,487 Ratings & 50 Reviews,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display108MP + 8MP | 13MP Front Camera5500 mAh BatteryDimensity 8350 Ultimate Processor1 Year Warranty for Handset and 6 Months Warranty for Accessories,Mid-Range
Tecno,"Tecno Pova 6 Neo 5G (Midnight Shadow, 128 GB)",9499,"1,942 Ratings & 119 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display108MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Phone,Budget
Motorola,"Motorola Edge 50 Neo (PANTONE Nautical Blue, 256 GB)",19999,"27,592 Ratings & 2,725 Reviews",8 GB RAM | 256 GB ROM16.26 cm (6.4 inch) Super HD Display50MP + 13MP + 10MP | 32MP Front Camera4310 mAh BatteryDimensity 7300 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,Mid-Range
Google,"Google Pixel 9A (Porcelain, 256 GB)",49999,"1,269 Ratings & 145 Reviews",8 GB RAM | 256 GB ROM15.96 cm (6.285 inch) Full HD+ Display48MP + 12MP | 12MP Front Camera5100 mAh BatteryTensor G4 Processor1 Year Domestic Warranty,Flagship
realme,"realme 14x 5G (Golden Glow, 128 GB)",15999,"5,206 Ratings & 286 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid-Range
REDMI,"REDMI 13 5G (Orchid Pink, 128 GB)",12034,"38,710 Ratings & 2,029 Reviews",6 GB RAM | 128 GB ROM17.25 cm (6.79 inch) Full HD+ Display108MP Rear Camera5030 mAh BatteryQualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) Processor1 year manufacture warranty,Budget
Nothing,"Nothing Phone (3a) Pro (Black, 256 GB)",33999,"2,173 Ratings & 174 Reviews",12 GB RAM | 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera5000 mAh Battery7s Gen3 Processor1 Year Manufacturing Warranty,Flagship
Samsung,"Samsung Galaxy S24 Ultra 5G (Titanium Violet, 256 GB)",83999,"3,142 Ratings & 314 Reviews",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Flagship
OnePlus,"OnePlus Nord CE4 (Dark Chrome, 256 GB)",23445,"23,036 Ratings & 1,302 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5500 mAh BatteryOxygenOS 14.0 ProcessorDomestic Warranty 1 Year For Handset And 6 month For Accessories.,Mid-Range
OnePlus,"OnePlus Nord CE4 lite 5G (MEGA BLUE, 128 GB)",17395,"22,440 Ratings & 1,102 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP Rear Camera5500 mAh Battery1 year,Mid-Range
REDMI,"REDMI A4 5G only on Jio SIM (Starry Black, 128 GB)",9547,"6,002 Ratings & 303 Reviews",4 GB RAM | 128 GB ROM17.48 cm (6.88 inch) Display50MP Rear Camera5160 mAh Battery1 Year,Budget
REDMI,"REDMI A4 5G only on Jio SIM (Sparkle Purple, 64 GB)",8849,"6,002 Ratings & 303 Reviews",4 GB RAM | 64 GB ROM17.48 cm (6.88 inch) Display50MP Rear Camera5160 mAh Battery1 Year,Budget
